Product Name,Manufacturer,Color,Brand,Order Date,Fiscal Month Of Year Name,Sales Quantity,Sales Amount,Customer Count,Delivered Quantity
A. Datum SLR Camera X135 Black,A. Datum Corporation,Black,A. Datum,2007-02-11 00:00:00,Feb,11,6897,1,11
A. Datum SLR Camera X135 Black,A. Datum Corporation,Black,A. Datum,2009-03-17 00:00:00,Mar,13,8151,1,13
"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,Adventure Works,2008-03-30 00:00:00,Mar,2,240,1,
"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,Adventure Works,2008-03-30 00:00:00,Apr,,,,2
"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,Adventure Works,2009-05-18 00:00:00,May,14,1680,1,14
"Adventure Works 13"" Color TV E25 White",Adventure Works,White,Adventure Works,2009-01-02 00:00:00,Jan,13,1560,1,13
"Adventure Works 15.6"" LCD TV M130W Black",Adventure Works,Black,Adventure Works,2008-09-30 00:00:00,Sep,2,600,1,
"Adventure Works 15.6"" LCD TV M130W Black",Adventure Works,Black,Adventure Works,2008-09-30 00:00:00,Oct,,,,2
"Adventure Works 15.6"" LCD TV M130W White",Adventure Works,White,Adventure Works,2008-03-29 00:00:00,Mar,11,3300,1,
"Adventure Works 15.6"" LCD TV M130W White",Adventure Works,White,Adventure Works,2008-03-29 00:00:00,Apr,,,,11
"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Silver,Adventure Works,2008-09-22 00:00:00,Sep,6,860,1,4
"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Silver,Adventure Works,2008-09-22 00:00:00,Oct,,,,2
"Adventure Works 19"" Portable LCD HDTV M110 Silver",Adventure Works,Silver,Adventure Works,2008-01-06 00:00:00,Jan,1,280,1,1
"Adventure Works 19"" Portable LCD HDTV M110 White",Adventure Works,White,Adventure Works,2007-03-09 00:00:00,Mar,3,840,3,3
"Adventure Works 20"" CRT TV E15 Black",Adventure Works,Black,Adventure Works,2007-01-30 00:00:00,Feb,,,,7
"Adventure Works 20"" CRT TV E15 Black",Adventure Works,Black,Adventure Works,2007-01-30 00:00:00,Jan,7,1190,1,
"Adventure Works 20"" CRT TV E15 Black",Adventure Works,Black,Adventure Works,2008-12-18 00:00:00,Dec,3,510,1,3
"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Brown,Adventure Works,2008-03-01 00:00:00,Mar,4,1400,1,4
"Adventure Works 20"" LCD HDTV M120 Silver",Adventure Works,Silver,Adventure Works,2009-11-13 00:00:00,Nov,13,4549,1,13
"Adventure Works 20"" LCD HDTV M120 White",Adventure Works,White,Adventure Works,2008-03-21 00:00:00,Mar,11,3849,1,7
"Adventure Works 20"" LCD HDTV M120 White",Adventure Works,White,Adventure Works,2008-03-21 00:00:00,Apr,,,,4
"Adventure Works 26"" 720p LCD HDTV M140 Black",Adventure Works,Black,Adventure Works,2007-11-12 00:00:00,Nov,3,1410,1,3
"Adventure Works 26"" 720p LCD HDTV M140 Black",Adventure Works,Black,Adventure Works,2008-07-30 00:00:00,Jul,6,2820,1,
"Adventure Works 26"" 720p LCD HDTV M140 Black",Adventure Works,Black,Adventure Works,2008-07-30 00:00:00,Aug,,,,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-03 00:00:00,Jan,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-07 00:00:00,Jan,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-11 00:00:00,Jan,6,2820,5,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-15 00:00:00,Jan,5,2350,5,5
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-19 00:00:00,Jan,6,2820,5,6
"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,Adventure Works,2007-01-23 00:00:00,Feb,,,,3
